step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
665.0,17,212.0,8.833333333333334,2.3814925141108616,17,214.0,0.0012587211889550165,17,214.0
670.0,10,149.0,7.095238095238095,3.856711897445714,10,195.0,0.0948026517698924,10,195.0
675.0,10,199.0,6.21875,8.528189035761628,10,201.0,0.49498505346541016,10,201.0
680.0,8,166.0,5.533333333333333,8.566854077589012,8,168.0,0.548350535715637,8,168.0
685.0,8,162.0,6.230769230769231,4.938344101044555,8,164.0,0.16673918768236265,8,164.0
690.0,15,230.0,10.454545454545455,3.372504798704715,15,232.0,0.0006960954682274235,15,232.0
695.0,14,217.0,10.333333333333334,2.999809387278288,14,217.0,7.74758416906112e-07,14,217.0
700.0,6,79.0,2.8214285714285716,7.409055125423011,6,162.0,0.5200919073623923,6,162.0
705.0,6,109.0,3.892857142857143,9.518539197991688,6,109.0,0.5856423959350691,6,109.0
710.0,8,97.0,3.730769230769231,4.859510581548613,8,97.0,0.1242057529219376,8,97.0
715.0,12,145.0,7.25,3.7613402736552475,12,145.0,0.07891536805940982,12,145.0
720.0,14,208.0,11.555555555555555,2.828294041801055,14,208.0,0.0004670567174389406,14,208.0
725.0,12,201.0,7.178571428571429,6.648567573881935,12,201.0,0.4567249341683006,12,201.0
730.0,6,97.0,3.730769230769231,6.831555073676346,6,146.0,0.44702995006403884,6,146.0
735.0,12,138.0,5.3076923076923075,5.595073325560056,12,138.0,0.0760906726580281,12,138.0
740.0,14,154.0,6.695652173913044,4.027386458322395,14,154.0,5.958661556198496e-05,14,154.0
745.0,12,201.0,7.730769230769231,6.861577622537298,12,201.0,0.4000004369613476,12,201.0
750.0,12,261.0,9.321428571428571,7.283502141687123,12,261.0,0.4581258566772679,12,261.0
755.0,10,240.0,9.23076923076923,4.623560833416208,10,240.0,0.29776310380224,10,240.0
760.0,11,111.0,4.625,2.4811203815850793,11,208.0,0.08704935939749367,11,208.0
765.0,12,171.0,7.125,5.454159861480235,12,173.0,0.0714212139342435,12,173.0
770.0,12,163.0,4.794117647058823,7.319989641368222,12,165.0,0.44609424607142306,12,165.0
775.0,10,191.0,6.366666666666666,8.218361357000072,10,193.0,0.5137091384790654,10,193.0
780.0,10,241.0,9.26923076923077,4.527068032424247,10,243.0,0.14206082996486774,10,243.0
785.0,18,229.0,9.541666666666666,2.37317731627445,18,231.0,0.00035797510406277805,18,231.0
790.0,10,155.0,7.380952380952381,3.74255292173377,10,237.0,0.10768019405743802,10,237.0
795.0,10,205.0,6.40625,8.372282653341296,10,207.0,0.47753182793920423,10,207.0
800.0,8,170.0,5.666666666666667,8.55293462894256,8,172.0,0.5497238544750556,8,172.0
805.0,6,161.0,6.708333333333333,4.940677931800586,6,163.0,0.21395553349034746,6,163.0
810.0,16,224.0,10.181818181818182,3.7962290615239227,16,226.0,0.0001874089810521954,16,226.0
815.0,14,211.0,11.105263157894736,2.235950611411494,14,211.0,1.0341241193888477e-06,14,211.0
820.0,6,80.0,2.857142857142857,7.774797577181813,6,156.0,0.5251628966151229,6,156.0
825.0,6,110.0,3.9285714285714284,10.015132922428435,6,110.0,0.6029846371984305,6,110.0
830.0,6,97.0,3.730769230769231,4.3291436194229735,6,97.0,0.028024126563695344,6,97.0
835.0,14,160.0,7.619047619047619,3.709908534782746,14,160.0,5.298106390496918e-05,14,160.0
840.0,14,230.0,12.777777777777779,2.548691159350959,14,230.0,5.318213785475024e-07,14,230.0
845.0,12,221.0,7.620689655172414,6.598748243029603,12,221.0,0.4585737361120317,12,221.0
850.0,6,118.0,4.538461538461538,6.829791064370836,6,182.0,0.44573510326001975,6,182.0
855.0,12,158.0,6.076923076923077,5.588478416117959,12,158.0,0.07345604564369435,12,158.0
860.0,14,171.0,7.125,4.741249001597301,14,171.0,5.270727374809713e-06,14,171.0
865.0,12,218.0,8.384615384615385,6.807291661344853,12,218.0,0.4000003440576614,12,218.0
870.0,12,278.0,9.928571428571429,7.429307846540448,12,278.0,0.46732310397713167,12,278.0
875.0,10,249.0,9.576923076923077,3.966275665150302,10,249.0,0.25630425773870896,10,249.0
880.0,11,115.0,4.791666666666667,2.513161086688228,11,211.0,0.08369029891109522,11,211.0
885.0,12,175.0,7.291666666666667,6.010910865863344,12,178.0,0.11439740713045561,12,178.0
890.0,12,164.0,4.96969696969697,7.198124227820604,12,166.0,0.4456532604851336,12,166.0
895.0,10,188.0,6.714285714285714,7.597288067722499,10,190.0,0.5051907685408478,10,190.0
900.0,10,238.0,9.153846153846153,4.941719886016049,10,240.0,0.18290084951337932,10,240.0
905.0,17,222.0,9.25,2.3712143373222383,17,224.0,0.0034684354726038694,17,224.0
910.0,10,152.0,6.909090909090909,4.02616997178995,10,231.0,0.10392869309055927,10,231.0
915.0,10,202.0,6.3125,8.628071867368465,10,204.0,0.4790027549268965,10,204.0
920.0,8,166.0,5.724137931034483,8.491151845131084,8,168.0,0.5430377922377653,8,168.0
925.0,9,163.0,6.269230769230769,5.22513655481037,9,165.0,0.1859822016461995,9,165.0
930.0,15,231.0,10.5,3.496117697780316,15,233.0,0.0007189205130751556,15,233.0
935.0,14,219.0,10.95,2.687431789874277,14,219.0,0.0,14,219.0
940.0,6,78.0,2.7857142857142856,7.815127140254327,6,197.0,0.5286885656937318,6,197.0
945.0,6,108.0,3.857142857142857,9.900257450479353,6,108.0,0.630348631582105,6,108.0
950.0,9,97.0,3.730769230769231,4.472231124608175,9,97.0,0.05313289528283898,9,97.0
955.0,14,159.0,7.571428571428571,3.8585876948504447,14,159.0,0.0003519492057903947,14,159.0
960.0,14,229.0,12.722222222222221,3.029798340138258,14,229.0,7.072605265587812e-07,14,229.0
965.0,12,222.0,7.928571428571429,6.318448688747698,12,222.0,0.44119182158464426,12,222.0
970.0,6,118.0,4.538461538461538,6.424870080980264,6,186.0,0.44405306870963823,6,186.0
975.0,11,160.0,6.153846153846154,5.5401901314266855,11,160.0,0.09779788802722766,11,160.0
980.0,14,168.0,6.72,4.65789712763466,14,168.0,0.0007491092735743885,14,168.0
985.0,12,211.0,7.814814814814815,7.175456380372595,12,211.0,0.4000003234669774,12,211.0
990.0,12,271.0,9.678571428571429,7.578363494615297,12,271.0,0.45058885425565287,12,271.0
995.0,10,240.0,9.6,4.221057976592559,10,240.0,0.28641999805844803,10,240.0
1000.0,11,109.0,4.541666666666667,2.597323608681425,11,200.0,0.08207698624258698,11,200.0
1005.0,12,169.0,7.041666666666667,5.617729440356449,12,171.0,0.06816578201760588,12,171.0
