step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
495.0,19,438.0,9.954545454545455,3.545534675482769,19,1030.0,0.1270831894300489,19,1030.0,False,,
500.0,23,542.0,13.55,2.68425406453481,23,1134.0,0.0688138456311398,23,1134.0,False,,
505.0,28,672.0,14.933333333333334,3.600990808802825,28,1264.0,0.19812398478786516,28,1264.0,False,,
510.0,33,833.0,17.72340425531915,3.5943763244630533,33,1425.0,0.23582135016914543,33,1425.0,False,,
515.0,35,1001.0,22.244444444444444,1.0768310717289895,35,1593.0,0.038676556597276694,35,1593.0,False,,
520.0,40,1151.0,25.57777777777778,0.7490554845624909,40,1743.0,0.0009186887179238891,40,1743.0,False,,
525.0,39,1343.0,30.522727272727273,1.2639730034535412,39,1935.0,0.0,39,1935.0,False,,
530.0,39,1538.0,27.963636363636365,3.829755006704562,39,2130.0,0.21839172879867946,39,2130.0,False,,
535.0,39,1733.0,32.698113207547166,2.155899894025725,39,2325.0,0.12893364607994706,39,2325.0,False,,
540.0,47,1950.0,38.23529411764706,0.8174161536893103,47,2542.0,0.040673629790425346,47,2542.0,False,,
545.0,49,2191.0,42.96078431372549,0.5436240683874073,49,2783.0,3.0807683856300646e-05,49,2783.0,False,,
550.0,47,2202.0,44.04,0.33094581275133783,47,2787.0,0.0,47,2787.0,False,,
555.0,37,1534.0,25.147540983606557,3.641519870643807,37,2577.0,0.20940066404166946,37,2577.0,False,,
560.0,29,1323.0,21.688524590163933,3.9340692846874954,29,2402.0,0.1482971379022329,29,2402.0,False,,
565.0,33,1337.0,22.661016949152543,2.7105767987668066,33,2287.0,0.08530540742780768,33,2287.0,False,,
570.0,29,817.0,15.711538461538462,1.8989953150759686,29,2066.0,0.05803442342903868,29,2066.0,False,,
575.0,25,352.0,6.901960784313726,3.2619909943819754,25,1664.0,0.0843622391549288,25,1664.0,False,,
580.0,23,264.0,4.327868852459017,4.6680324891727745,23,1761.0,0.25744245831245877,23,1761.0,False,,
585.0,28,393.0,7.1454545454545455,3.044745070277138,28,1890.0,0.16875632374102956,28,1890.0,False,,
590.0,40,570.0,10.754716981132075,1.347683944340857,40,2067.0,0.024614194146330304,40,2067.0,False,,
595.0,45,728.0,14.27450980392157,0.6790531046560564,45,2099.0,0.0009650387819752481,45,2099.0,False,,
600.0,37,663.0,13.53061224489796,1.420921434096135,37,2122.0,0.04556706713172617,37,2122.0,False,,
605.0,29,655.0,10.737704918032787,4.830301805323839,29,1915.0,0.24386687152197836,29,1915.0,False,,
610.0,35,810.0,13.96551724137931,3.198841476813342,35,2070.0,0.13756929934477352,35,2070.0,False,,
615.0,41,1008.0,19.0188679245283,1.1232315397876476,41,2268.0,0.01562531209825644,41,2268.0,False,,
620.0,47,1231.0,24.137254901960784,0.49009690308552056,47,2491.0,0.00040598273490250657,47,2491.0,False,,
625.0,47,1383.0,24.263157894736842,2.119683341463415,47,2463.0,0.14545454545454545,47,2463.0,False,,
630.0,37,1151.0,18.868852459016395,2.8362584621259233,37,2422.0,0.1631218710655466,37,2422.0,False,,
635.0,36,1004.0,16.459016393442624,2.777758660545188,36,2063.0,0.08360032741302316,36,2063.0,False,,
640.0,31,917.0,15.542372881355933,2.8066331029919795,31,2130.0,0.09315577352112414,31,2130.0,False,,
645.0,35,1063.0,19.685185185185187,1.9573116388477958,35,2294.0,0.06965157808179145,35,2294.0,False,,
650.0,42,1260.0,20.0,2.861994968003393,42,2491.0,0.181671108751568,42,2491.0,False,,
655.0,46,1478.0,24.229508196721312,1.4684489376112468,46,2711.0,0.10934261918214248,46,2711.0,False,,
660.0,55,1734.0,28.42622950819672,0.4141621341321988,55,2967.0,0.016725358169920667,55,2967.0,False,,
665.0,59,2029.0,33.26229508196721,0.39976034711866804,59,3262.0,8.034365420876231e-06,59,3262.0,False,,
